               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10715,            0.037783,            0.046799,           0.0025209,             0.62941,           0.0097643,           0.0031739,            0.084844,            0.030462,            0.042356,              0.0784,              0.0024,              0.0024
                   1,            0.090401,            0.037959,            0.040698,            0.002984,             0.90745,            0.021357,           0.0099595,             0.07328,            0.028942,            0.038301,            0.055738,           0.0047383,           0.0047383
                   2,            0.079989,             0.04038,            0.034832,           0.0031303,             0.72039,           0.0096769,           0.0026345,            0.088445,            0.024034,            0.033836,            0.032912,           0.0069116,           0.0069116
                   3,            0.082414,            0.035847,            0.031397,           0.0036945,             0.65229,           0.0068913,           0.0015382,            0.080566,            0.025257,            0.034395,           0.0099199,           0.0089199,           0.0089199
                   4,            0.078989,            0.035747,             0.03086,           0.0033336,             0.69451,            0.020251,           0.0088906,            0.072733,            0.026532,            0.034993,             0.00868,             0.00868,             0.00868
                   5,            0.072729,            0.039392,            0.030284,           0.0027078,             0.61007,            0.018151,           0.0045845,            0.090185,            0.022591,            0.034744,             0.00868,             0.00868,             0.00868
                   6,             0.06725,            0.038189,            0.029923,           0.0029181,             0.73373,             0.05408,            0.021665,            0.060828,            0.029075,             0.03569,             0.00835,             0.00835,             0.00835
                   7,            0.064325,            0.038399,             0.03025,           0.0079813,             0.74078,            0.097924,            0.036035,            0.067149,            0.026372,            0.034765,             0.00802,             0.00802,             0.00802
                   8,            0.061316,             0.03871,             0.02897,             0.35118,             0.57412,             0.15965,             0.05534,            0.056427,            0.028141,            0.034833,             0.00769,             0.00769,             0.00769
                   9,            0.059098,            0.037283,            0.029225,             0.38249,             0.52784,             0.11929,            0.041832,            0.061745,            0.026651,             0.03432,             0.00736,             0.00736,             0.00736
                  10,            0.057904,            0.039948,            0.027895,             0.40036,             0.44157,             0.13085,             0.05215,            0.054601,            0.027401,             0.03408,             0.00703,             0.00703,             0.00703
                  11,            0.057542,            0.039278,            0.029372,             0.40548,             0.32157,             0.14266,            0.064342,            0.051625,              0.0275,            0.033926,              0.0067,              0.0067,              0.0067
                  12,            0.053471,            0.037188,            0.028652,             0.44798,             0.36906,             0.15963,            0.075011,            0.047302,            0.027832,            0.033734,             0.00637,             0.00637,             0.00637
                  13,             0.05231,             0.03756,            0.029135,             0.44572,             0.42745,             0.18718,            0.080247,            0.049853,            0.026401,            0.033738,             0.00604,             0.00604,             0.00604
                  14,            0.050381,            0.037768,            0.028077,              0.4812,             0.46745,             0.20716,            0.083384,             0.04742,             0.02643,            0.034135,             0.00571,             0.00571,             0.00571
                  15,            0.048047,            0.039364,            0.028444,             0.51462,             0.44784,             0.25508,            0.094045,            0.049345,            0.023873,            0.033763,             0.00538,             0.00538,             0.00538
                  16,            0.044814,            0.036299,            0.027186,             0.53425,             0.39451,             0.26373,             0.10994,            0.046997,            0.024005,            0.034267,             0.00505,             0.00505,             0.00505
                  17,            0.047722,            0.035846,            0.027649,             0.54452,             0.40784,             0.28865,             0.13243,            0.043907,            0.023576,             0.03386,             0.00472,             0.00472,             0.00472
                  18,            0.045574,            0.035116,             0.02745,             0.55377,             0.46745,              0.2847,             0.13941,            0.045813,            0.022043,            0.033939,             0.00439,             0.00439,             0.00439
                  19,            0.045693,            0.034895,            0.027943,              0.5505,             0.45019,             0.28456,             0.13298,            0.042967,            0.022376,            0.034143,             0.00406,             0.00406,             0.00406
                  20,            0.044126,            0.032752,            0.026506,             0.56468,             0.39529,             0.27278,             0.12429,            0.044914,            0.021556,            0.034111,             0.00373,             0.00373,             0.00373
                  21,             0.04418,            0.031854,            0.026126,             0.56264,             0.46118,             0.32578,             0.15993,             0.04092,            0.021493,            0.033697,              0.0034,              0.0034,              0.0034
                  22,            0.041491,            0.033384,            0.026092,             0.56978,             0.52078,             0.33818,             0.15891,            0.040865,            0.021406,            0.033592,             0.00307,             0.00307,             0.00307
                  23,            0.040837,            0.032748,            0.025452,             0.58068,             0.50745,             0.35037,             0.18763,            0.036745,            0.021959,            0.033837,             0.00274,             0.00274,             0.00274
                  24,            0.040007,            0.030617,            0.025553,             0.60801,             0.48784,             0.37828,             0.22034,            0.035231,             0.02121,            0.033152,             0.00241,             0.00241,             0.00241
                  25,            0.039691,            0.031709,            0.024337,             0.60807,             0.46118,             0.37301,             0.21711,            0.033918,            0.021279,            0.032172,             0.00208,             0.00208,             0.00208
                  26,            0.038105,            0.031216,            0.025135,             0.63877,             0.46824,              0.3891,             0.23436,            0.034494,            0.021146,            0.031491,             0.00175,             0.00175,             0.00175
                  27,            0.038494,             0.03028,            0.024943,             0.64107,              0.4549,              0.3996,             0.22265,            0.034414,            0.021114,            0.031512,             0.00142,             0.00142,             0.00142
                  28,            0.038786,            0.031895,            0.025518,             0.68712,              0.4549,             0.40473,             0.24071,            0.032894,            0.021168,            0.031574,             0.00109,             0.00109,             0.00109
                  29,            0.036725,            0.031714,            0.025306,             0.73319,             0.44157,             0.41793,             0.23486,            0.033932,            0.021396,            0.031647,             0.00076,             0.00076,             0.00076
